Fixture,Metric,Reference Value,JavaScript Value,Absolute Error,Relative Error,Pass / Fail
"large_time_scale","beta","1.025548302001591","1.02554833115828","2.9156689063114527e-8","2.843034209720655e-8","Pass"
"large_time_scale","eta","9580606.16060395","9580606.140328657","0.020275292918086052","2.116284980115279e-9","Pass"
"large_time_scale","logLikelihood","-85.38418811006034","-85.38418811006031","2.842170943040401e-14","3.328685329158179e-16","Pass"
"large_time_scale","b1","107979.90313289134","107979.9166745937","0.013541702355723828","1.2540946938114952e-7","Pass"
"large_time_scale","b5","529161.6395275652","529161.6819788886","0.042451323359273374","8.022373541130808e-8","Pass"
"large_time_scale","b10","1067622.6369558128","1067622.7012999349","0.06434412207454443","6.026860039050252e-8","Pass"
"large_time_scale","b50","6701681.44338751","6701681.497297303","0.05390979256480932","8.044218905391518e-9","Pass"
"large_time_scale","missionReliability","0.4844175926232059","0.48441759507392085","2.4507149642971626e-9","5.059095709191966e-9","Pass"
"large_time_scale","missionFailureProbability","0.5155824073767941","0.5155824049260791","2.4507149642971626e-9","4.7532943894770045e-9","Pass"
"small_time_scale","beta","1.160175653273421","1.1601756772959562","2.4022535072276696e-8","2.070594655602142e-8","Pass"
"small_time_scale","eta","0.009134150768008723","0.009134150766295259","1.7134644397787113e-12","1.8758880637047472e-10","Pass"
"small_time_scale","logLikelihood","22.228762737515247","22.228762737515257","1.0658141036401503e-14","4.794752259609066e-16","Pass"
"small_time_scale","b1","0.00017324902713014855","0.0001732490413213978","1.4191249249947274e-11","8.191243255459374e-8","Pass"
"small_time_scale","b5","0.0007060245580968937","0.0007060245953906871","3.7293793487408466e-11","5.2822232682578055e-8","Pass"
"small_time_scale","b10","0.0013130361183345727","0.0013130361708235626","5.24889899339992e-11","3.997528263013444e-8","Pass"
"small_time_scale","b50","0.0066599277993725035","0.0066599278416874155","4.2314911991025994e-11","6.3536592686504635e-9","Pass"
"small_time_scale","missionReliability","0.6813600459036594","0.681360051032174","5.128514612984247e-9","7.526878988307148e-9","Pass"
"small_time_scale","missionFailureProbability","0.3186399540963406","0.318639948967826","5.128514612984247e-9","1.6095014285100117e-8","Pass"
"invalid_time","invalid_time","invalid_time","Pass","","","Pass"
"invalid_status","invalid_status","invalid_status","Pass","","","Pass"
"larger_sample_mixed","beta","0.9661465614192849","0.9661465696450251","8.225740200096254e-9","8.513967268084575e-9","Pass"
"larger_sample_mixed","eta","2522.6069500484177","2522.6069433727343","0.000006675683380308328","2.646343054029958e-9","Pass"
"larger_sample_mixed","logLikelihood","-105.86310940587937","-105.8631094058794","2.842170943040401e-14","2.6847604977702965e-16","Pass"
"larger_sample_mixed","b1","21.578798858120727","21.578799675774306","8.176535786219574e-7","3.789152417602014e-8","Pass"
"larger_sample_mixed","b5","116.60338390884276","116.6033866522744","0.000002743431636531568","2.35278903970429e-8","Pass"
"larger_sample_mixed","b10","245.63058888333495","245.63059310438734","0.000004221052392949787","1.7184555116442048e-8","Pass"
"larger_sample_mixed","b50","1726.2259009187017","1726.225901925914","0.0000010072124041471398","5.834765911061228e-10","Pass"
"larger_sample_mixed","missionReliability","0.6642947785382733","0.6642947799116521","1.3733787440628475e-9","2.0674236625566375e-9","Pass"
"larger_sample_mixed","missionFailureProbability","0.33570522146172666","0.3357052200883479","1.3733787440628475e-9","4.091025865141108e-9","Pass"
